 
 
 
 
#  id     pos         dens           U           pres       weightedn    weightedP    weightedU       A    hsmooth
   1   1.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   2   2.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   3   3.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   4   4.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   5   5.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   6   6.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   7   7.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   8   8.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
   9   9.0000E-01   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  10   1.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  11   1.1000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  12   1.2000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  13   1.3000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  14   1.4000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  15   1.5000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  16   1.6000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  17   1.7000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  18   1.8000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  19   1.9000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   4.9260E-02   0.0000E+00
  20   2.0000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  21   2.1000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
